Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,0.60,0.63,0.59,0.62,9473000,0.62
2011-11-04,0.59,0.60,0.58,0.59,3350000,0.59
2011-11-03,0.57,0.58,0.57,0.57,2910000,0.57
2011-11-02,0.55,0.58,0.54,0.58,8085000,0.58
2011-11-01,0.57,0.57,0.56,0.56,5060000,0.56
2011-10-31,0.60,0.60,0.57,0.58,3772000,0.58
2011-10-28,0.58,0.61,0.58,0.60,9404000,0.60
2011-10-27,0.55,0.57,0.54,0.57,8936000,0.57
2011-10-25,0.55,0.55,0.54,0.54,2581000,0.54
2011-10-24,0.54,0.55,0.54,0.54,5111000,0.54
2011-10-21,0.52,0.54,0.52,0.54,7966000,0.54
2011-10-20,0.52,0.52,0.51,0.52,2141000,0.52
2011-10-19,0.53,0.54,0.52,0.52,4100000,0.52
2011-10-18,0.52,0.53,0.50,0.52,13102000,0.52
2011-10-17,0.55,0.55,0.52,0.54,10376000,0.54
2011-10-14,0.49,0.53,0.49,0.53,13019000,0.53
2011-10-13,0.50,0.50,0.49,0.50,20309000,0.50
2011-10-12,0.45,0.49,0.44,0.49,18902000,0.49
2011-10-11,0.45,0.47,0.45,0.45,18937000,0.45
2011-10-10,0.44,0.44,0.43,0.43,5172000,0.43
2011-10-07,0.44,0.45,0.43,0.43,10368000,0.43
2011-10-06,0.41,0.43,0.40,0.43,10875000,0.43
2011-10-05,0.40,0.41,0.39,0.40,5818000,0.40
2011-10-04,0.41,0.41,0.37,0.39,10802000,0.39
2011-10-03,0.47,0.47,0.43,0.43,5563000,0.43
2011-09-30,0.50,0.50,0.48,0.48,2911000,0.48
2011-09-29,0.49,0.50,0.49,0.49,664000,0.49
2011-09-28,0.51,0.51,0.50,0.50,1604000,0.50
2011-09-27,0.50,0.51,0.50,0.51,4355000,0.51
